"",BBK01.SUD131,BBK01.SUD131_FLAGS
"","Effective interest rates of German banks / New business / Housing loans to households (annual percentage rate of charge, total cost of loan)",
BBK_COMM_GEN_ENG,"The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). Volume-weighted average rates of all new agreements concluded during the reporting month. (Up to May 2010 the aggregated interest rate was calculated by weighting the reported interest rates with the reported volumes of new business. From June 2010 the interest rates per stratum are calculated by weighting the reported interest rates with the reported volumes of new business. Then the interest rate for Germany is aggregated by weighting the interest rates of each stratum with the grossed-up volumes of the same stratum.) Annual percentage rate of charge, which contains other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account.",
BBK_DECIMALS,2,
TIME_FORMAT,P1M,
unit,% p.a.,
unit multiplier,One,
last update,2023-06-05 13:23:08,
2018-08,1.93,
2018-09,1.92,
2018-10,1.91,
2018-11,1.94,
2018-12,1.90,
2019-01,1.92,
2019-02,1.84,
2019-03,1.80,
2019-04,1.72,
2019-05,1.68,
2019-06,1.63,
2019-07,1.54,
2019-08,1.43,
2019-09,1.34,
2019-10,1.31,
2019-11,1.31,
2019-12,1.34,
2020-01,1.39,
2020-02,1.33,
2020-03,1.27,
2020-04,1.29,
2020-05,1.37,
2020-06,1.38,
2020-07,1.32,
2020-08,1.28,
2020-09,1.26,
2020-10,1.24,
2020-11,1.22,
2020-12,1.21,
2021-01,1.23,
2021-02,1.22,
2021-03,1.22,
2021-04,1.27,
2021-05,1.31,
2021-06,1.34,
2021-07,1.36,
2021-08,1.31,
2021-09,1.31,
2021-10,1.32,
2021-11,1.36,
2021-12,1.37,
2022-01,1.39,
2022-02,1.49,
2022-03,1.69,
2022-04,1.98,
2022-05,2.29,
2022-06,2.62,
2022-07,2.85,
2022-08,2.89,
2022-09,3.08,
2022-10,3.31,
2022-11,3.67,
2022-12,3.60,
2023-01,3.73,
2023-02,3.85,
2023-03,3.95,
2023-04,3.98,Provisional value
"",Comment on 2010-06: Change of the grossing-up procedure according to the ECB (Guideline ECB/2014/15),
